komentar,timestamp,platform
"wih kren cuy beli kereta api dng link aja hehe,, mksudnya tiket KAi mungkin mbak yah !!",4 tahun yang lalu,youtube
Pilih km aja ga mau yg lain,4 tahun yang lalu,youtube
paling bgs yg mana,2 tahun yang lalu,youtube
Ini setuju tapi kalau batrai hp gak ada😂,3 tahun yang lalu,youtube
Tapi sekarang dana kasus negeri kalo simpan uang di dana bisa hilang,2 tahun yang lalu,youtube
 @hilmanromadona6574  sya pakai akun dana status premium sejauh ini aman aja sih,2 tahun yang lalu,youtube
"Maksutnya sabtu minggu libur gmana yah?
Maksutnya sabtu minggu aplikasinya gk bisa di gunain gitu?",3 tahun yang lalu,youtube
" @soniahutabarat2678  pernah sya alami mau ngirim uang ke rekening dihari itu,, tau2nya ada notif pengiriman pending.. pengiriman berlangsung sesuai jam kerja bank!! Sabtu minggu bank libur",3 tahun yang lalu,youtube
Aku pakai dana.. Malah pernah hilang saldo. 1.400 000...tanpa transaksi apapun.,2 tahun yang lalu,youtube
​ @IvaAulia-f1m sama kaya aku bang,1 tahun yang lalu,youtube
boleh,2 tahun yang lalu,youtube
Menurutku dompet digital terbaik adalah DANA,4 tahun yang lalu,youtube
Linkaja,4 tahun yang lalu,youtube
Saya pake dana. Tapi ketika saya mau berlangganan mola. Tidak ada pembayaran melalui dana. Maka dari itu saya mau ganti dompet. Tapi yang terkomendasi,4 tahun yang lalu,youtube
Dana ga bs dipake di alfamart dkk indomaret jg itu aja 😀,4 tahun yang lalu,youtube
Klo ovo buat beli dicafe2 doang harus upgrade full servis va,4 tahun yang lalu,youtube
Fix milih ovo dong buat top up :),4 tahun yang lalu,youtube
Untung skrg ada QRIS jadi bisa scan semua e-Wallet inget tuh dulu kebanyakan  di pisah2😩 Cuma buat gopay lah ovo lah dana lah,4 tahun yang lalu,youtube
"Kakaknya bagus publik speaking nya, jelas , akurat dan terukur. 💯",4 tahun yang lalu,youtube
"Ke depannya lagi semakin canggih gak perlu pakai handphone, cukup pakai tangan atau dahi bisa membeli dan menjual sesuai nubuatan Alkitab. Mengerikan...",4 tahun yang lalu,youtube
"Jangan nyimpen duit banyaj banyak di e wallet, krna kalo hape lu ilang beserta simcardnya, ya sudah lenyap semuanya
Tapi keunggulannya adl gaada biaya admin bulanan

Tapi kalo lu nabung di BCA ekspresi, kartu atm ilang.. Lu tinggal dateng ke kantor bca bawa ktp, bikin kartu atm baru+menonaktifkan kartu atm yg ilang  jadi duit lu ttep terselamatkan
Minusnya ada biaya admin 8ribu perbulan",4 tahun yang lalu,youtube
Link aja terbaik.. cuma sedikit mahal aja,4 tahun yang lalu,youtube
"Pertanyaanya.....
Dompet digital bisa untuk nyawer biduan?",4 tahun yang lalu,youtube
"Nonton lama-lama tak kira bakalan jadi paham dompet digital 
Eh malah jadi sayang , wkwk",4 tahun yang lalu,youtube
Dompet digital bisa ngerubah uang dari 1000 sampe sejuta ga ? 😂,4 tahun yang lalu,youtube
nah ini dia yang gua cari cari bray,4 tahun yang lalu,youtube
Dlu make ovo.. eh karena ga bsa pindah ke dana... dan dri dana lah aku bisa investasi sdikit2.. soalnya top up pun tanpa admin.. nah kalau gopay.. biar pake admin.  Tpi bnyak skali keuntungab bnyak promo dan bnyak cashback... ga tanggung2 kdang 20 rb 10 rb.. lumayan... dan kalau gopay transfer ke semua bank cm 2500.. klo mw yg gratis admin ada lagi tuh aplikasi JENIUS..,4 tahun yang lalu,youtube
"Aku ko vertikasi ke dana gagal aja, knp yah??",4 tahun yang lalu,youtube
"Saya pakai linkaja dan dana. 
Linkaja free tranfer antar bank bumn
Dana free tranfer semua bank 10xperbulan. D dana beli pulsa bisa 5ribuan.",4 tahun yang lalu,youtube
Saya gagal terus download aplikasi dana dna ovvo  gak tau kenapa,4 tahun yang lalu,youtube
"Dana rawan sekarang 
Di bekukan tiba-tiba 
Yang best hanya link aja tidak ada yang lain",4 tahun yang lalu,youtube
Yes. Bisa top up ke forex atau binomo.,4 tahun yang lalu,youtube
8 ribu utk jaminan ga mahal lah,3 tahun yang lalu,youtube
Benar Bg nyimpen duit didana buat belanja aja kalau untuk tabungan mending di bank...,4 tahun yang lalu,youtube
Wkwkwkkw..😁,4 tahun yang lalu,youtube
Di bekukan alasanya apa?,4 tahun yang lalu,youtube
Betul duit saya nyangkut 2 juta,2 tahun yang lalu,youtube
"Gopay mah paling gak enak,  karna dompet gampang terblokir atau terkunci",4 tahun yang lalu,youtube
"Apk Link Aja  saja yang Mantapppp 

Apk Dana tidak bagus 
Apk ovo tidak bagus
Apk go pay tidak bagus",4 tahun yang lalu,youtube
😱,4 tahun yang lalu,youtube
Yg terpenting gratis ke bank,4 tahun yang lalu,youtube
Mbaknya manis deh apalagi suaranya duhh..empuk banget jd gk bosen nontonnya 😘,4 tahun yang lalu,youtube
Terimakasih atss informasinya kak 🙏🏼,4 tahun yang lalu,youtube
Kecewa sama dana.hanya untuk masuk kepremium terbentur foto ktp yg blur padahal dokumen pendukung sim dll sama saja gk bisa jadi premium,4 tahun yang lalu,youtube
Mantap bingit intonasinya,4 tahun yang lalu,youtube
